# DOE ARM Utqiagvik liquid-containing cloud durations -- Genie's event list
# ==========================================================================
#
# Written by northSlope_alaska_doeARM/
#   barrow_liquidContaining_cloud_susceptibility_fromGenies_data.ipynb (9f)
# from cloudDuration_ALL.csv, supplied by Genie Lorenzo Pearson 2026-09-17:
# the duration in minutes of EVERY liquid-containing (liquid + mixed-phase)
# cloud, non-precipitating, LWP threshold 0 g m-2, over 11 cold seasons
# (2014/15-2024/25, Oct 1 - Mar 31). One 30-s sample = 0.5 min is the
# resolution; the shortest cloud is one sample.
#
# LOSSLESS COMPRESSION of the list: every duration is a multiple of one
# sample and only a few hundred distinct values occur, so each row is one
# distinct duration and the number of clouds that had it. Expanding the
# rows (duration repeated n_clouds times) gives the original list exactly.
#
# 64,594 clouds; 17,392.5 h in total, 1,581.1 h/season.
# Mean 16.16 min, median 3.0 min, max 3218.5 min.
#
# KNOWN DISCREPANCY (notebook section 9a): the durations sum to 6.4% LESS
# than the ver2 seasonal liquid-containing totals (17,392 h vs 18,574 h),
# and the list matches the PRE-correction (ver1) total + a few percent.
# Provenance not yet confirmed with Genie. Retained FRACTIONS are the
# quantity to use from this file; absolute hours carry that caveat.
#
n_seasons,11
duration_min,n_clouds
487.5,1
488,2
489.5,1
491,1
492.5,1
494,1
496,1
497.5,1
498,1
502,1
503.5,2
507,1
510,1
510.5,1
512,1
512.5,1
513.5,1
514,1
514.5,1
518,2
518.5,1
519,1
519.5,1
520.5,1
523,1
529.5,1
532.5,1
533,1
535,1
536,1
538.5,1
539,1
540,1
541.5,1
544,1
548.5,2
551.5,1
553.5,1
554,1
554.5,2
555,1
556.5,1
557.5,1
558,1
559.5,1
560,1
561,1
563,1
568,1
570.5,1
571.5,1
578,1
581.5,1
584,1
587.5,1
589.5,1
592,1
595.5,1
597,1
597.5,1
601.5,1
602.5,2
604,1
606,1
608,1
610,1
614,2
616,2
616.5,1
617,1
618.5,1
620.5,1
623,1
624,1
628.5,2
629.5,1
635,1
636,1
637.5,1
642.5,1
643,1
643.5,1
646.5,1
647.5,1
656,1
657,1
661,1
665.5,1
666.5,1
676.5,1
678,1
679.5,1
680,1
680.5,1
681,1
683,1
686.5,1
690,1
695.5,1
699,1
701,1
703,1
705,1
707.5,1
710.5,1
711,1
711.5,1
713,1
725.5,2
732.5,1
733,2
742.5,1
743,1
744,1
746.5,2
753.5,1
755,1
755.5,1
757.5,1
759,1
762,1
764,1
767,1
768,1
771.5,1
775,1
779.5,1
784,1
788,1
794,1
804.5,1
811,1
813,1
815.5,1
838,1
845.5,1
850.5,1
851.5,2
854.5,1
857,1
857.5,1
871,1
879.5,1
887.5,1
890,2
900,1
915,1
916.5,1
917,1
942,1
951.5,1
957.5,1
961.5,1
974,1
986,1
988.5,1
996.5,1
1000,1
1001,1
1004,1
1005,1
1012.5,1
1030,1
1031,1
1034,1
1048,1
1048.5,1
1049,1
1064,1
1107,1
1122,1
1130,1
1152.5,1
1153,1
1194.5,1
1195,1
1209.5,1
1213.5,1
1219,1
1236,1
1244,1
1269,1
1272.5,1
1276.5,1
1295,1
1348,1
1387.5,1
1400.5,1
1402.5,1
1418.5,1
1528.5,1
1577.5,1
1645.5,1
1719,1
1725.5,1
1738,1
1765,1
1772,1
1774.5,1
1787.5,1
1902,1
1965,1
2478,1
3218.5,1
